"user_id","order_id","order_date","shipping_date","order_year","order_month","days_to_ship","shipping_speed","product_id","product_name","price_usd","price_category","platform","country_code"
"02157f8f","e122c8f5ad44060","2019-01-01","2019-01-02",2019,1,1,"Fast","8d0d","Nintendo Switch","175.10","High","Website","IT"
"12fd4613","96a4c4b658a10788","2019-01-01","2019-01-04",2019,1,3,"Standard","ab0f","JBL Quantum 100 Gaming Headset","22.36","Low","Website","IT"
"32698d45","ff85496f03e23474","2019-01-01","2019-01-02",2019,1,1,"Fast","8d0d","Nintendo Switch","168.00","High","Website","US"
"3b1cdc64","eca1e1d002a26932","2019-01-01","2019-01-03",2019,1,2,"Fast","8d0d","Nintendo Switch","155.42","High","Website","IT"
"892b37e6","ff106a4901558262","2019-01-01","2019-01-04",2019,1,3,"Standard","891b","27in 4K Gaming Monitor","312.00","High","Website","US"
"4ce3061a","51cb708898534167","2019-01-01","2019-01-03",2019,1,2,"Fast","8d0d","Nintendo Switch","168.00","High","Website","US"
"4ce3061a","51cb708898534168","2019-01-01","2019-01-03",2019,1,2,"Fast","8d0d","Nintendo Switch","168.00","High","Website","US"
"53829dcd","ac2a952621136799","2019-01-01","2019-01-04",2019,1,3,"Standard","8d0d","Nintendo Switch","139.04","High","Website","BR"
"576f4fb0","67615df909638344","2019-01-01","2019-01-03",2019,1,2,"Fast","ab0f","JBL Quantum 100 Gaming Headset","24.90","Low","Website","GB"
"576f4fb0","67615df909638345","2019-01-01","2019-01-03",2019,1,2,"Fast","ab0f","JBL Quantum 100 Gaming Headset","24.90","Low","Website","GB"
"696dd2ce","d463f953b8445516","2019-01-01","2019-01-02",2019,1,1,"Fast","ab0f","JBL Quantum 100 Gaming Headset","22.32","Low","Website","NL"
"86419a0e","fcca534afe557110","2019-01-01","2019-01-04",2019,1,3,"Standard","8d0d","Nintendo Switch","168.00","High","Website","US"
"ced93f5a","d39d482ce5d87394","2019-01-01","2019-01-03",2019,1,2,"Fast","891b","27in 4K Gaming Monitor","394.38","High","Website","US"
"9e979adc","fcd8c52dc7267021","2019-01-01","2019-01-02",2019,1,1,"Fast","ab0f","JBL Quantum 100 Gaming Headset","21.94","Low","Website","KR"
"af714af0","7fa34c00e9e74331","2019-01-01","2019-01-03",2019,1,2,"Fast","8d0d","Nintendo Switch","168.00","High","Website","US"
"c238ddfb","7b9b9a07f7c82204","2019-01-01","2019-01-04",2019,1,3,"Standard","b5f7","Nintendo Switch","167.98","High","Mobile App","US"
"e8ee5408","eec82758dda98372","2019-01-01","2019-01-03",2019,1,2,"Fast","891b","27in 4K Gaming Monitor","358.46","High","Website","GB"
"dd1794a5","96c80e286bf93413","2019-01-01","2019-01-03",2019,1,2,"Fast","8d0d","Nintendo Switch","168.00","High","Website","US"
"e12d652c","63c5d09516b95166","2019-01-01","2019-01-04",2019,1,3,"Standard","8d0d","Nintendo Switch","162.70","High","Website","NO"
"f03c9198","87c717c858f101534","2019-01-01","2019-01-04",2019,1,3,"Standard","8d0d","Nintendo Switch","168.00","High","Website","BR"
"fb67bd5f","778c83a0805106202","2019-01-01","2019-01-02",2019,1,1,"Fast","ab0f","JBL Quantum 100 Gaming Headset","24.00","Low","Website","BR"
"eb40b7ef","bb0f98c51e933764","2019-01-01","2019-01-02",2019,1,1,"Fast","2a50","27in 4K Gaming Monitor","361.86","High","Mobile App","US"
"3923724","fcccc67c00f133","2019-01-02","2019-01-05",2019,1,3,"Standard","891b","27in 4K Gaming Monitor","359.56","High","Website","US"
"0c9959a9","d8f3a724a868160","2019-01-02","2019-01-03",2019,1,1,"Fast","891b","27in 4K Gaming Monitor","421.59","High","Website","DE"
"172fd0f7","c89970027d712430","2019-01-02","2019-01-04",2019,1,2,"Fast","891b","27in 4K Gaming Monitor","429.62","High","Website","CA"
"9ccd5b38","71a5bec678e66310","2019-01-02","2019-01-05",2019,1,3,"Standard","891b","27in 4K Gaming Monitor","283.61","High","Website","JP"
"3890c9a6","af944bf9f5c25901","2019-01-02","2019-01-05",2019,1,3,"Standard","8315","JBL Quantum 100 Gaming Headset","24.38","Low","Mobile App","US"
"7cbd4da4","86c9494494e53296","2019-01-02","2019-01-05",2019,1,3,"Standard","8d0d","Nintendo Switch","142.19","High","Website","AU"
"7e645434","85bf08f07c753991","2019-01-02","2019-01-04",2019,1,2,"Fast","ab0f","JBL Quantum 100 Gaming Headset","21.57","Low","Website","GB"
"90aac7cc","5163f1618e361346","2019-01-02","2019-01-04",2019,1,2,"Fast","8e5d","Nintendo Switch","168.94","High","Mobile App","US"
"a68caffb","f228b74095f70582","2019-01-02","2019-01-03",2019,1,1,"Fast","8d0d","Nintendo Switch","168.00","High","Website","US"
"aa296799","67191ae8ed472137","2019-01-02","2019-01-04",2019,1,2,"Fast","ab0f","JBL Quantum 100 Gaming Headset","24.00","Low","Website","BR"
"aa296799","67191ae8ed472138","2019-01-02","2019-01-04",2019,1,2,"Fast","ab0f","JBL Quantum 100 Gaming Headset","24.00","Low","Website","BR"
"c248bb7c","90981c9212b82239","2019-01-02","2019-01-05",2019,1,3,"Standard","8315","JBL Quantum 100 Gaming Headset","24.40","Low","Mobile App","US"
"d884c9ce","688e335ac1e91468","2019-01-02","2019-01-05",2019,1,3,"Standard","04ac","Lenovo IdeaPad Gaming 3","388.23","High","Website","TR"
"d884c9ce","688e335ac1e91469","2019-01-02","2019-01-05",2019,1,3,"Standard","04ac","Lenovo IdeaPad Gaming 3","388.23","High","Website","TR"
"21d83cfa","dbccdddd28216764","2019-01-03","2019-01-04",2019,1,1,"Fast","891b","27in 4K Gaming Monitor","315.22","High","Website","US"
"154b8e5e","e9eb40a9af711655","2019-01-03","2019-01-04",2019,1,1,"Fast","8d0d","Nintendo Switch","168.00","High","Website","US"
"17a99419","f95ccbd9efe12601","2019-01-03","2019-01-06",2019,1,3,"Standard","8d0d","Nintendo Switch","130.83","High","Website","DE"
"28768f39","cbfde8785ae19361","2019-01-03","2019-01-05",2019,1,2,"Fast","891b","27in 4K Gaming Monitor","313.29","High","Website","BE"
"28768f39","cbfde8785ae19362","2019-01-03","2019-01-05",2019,1,2,"Fast","891b","27in 4K Gaming Monitor","313.29","High","Website","BE"
"42e59451","885178c52a830146","2019-01-03","2019-01-04",2019,1,1,"Fast","891b","27in 4K Gaming Monitor","470.56","High","Website","GB"
"59348b27","a488a0c101439016","2019-01-03","2019-01-04",2019,1,1,"Fast","8d0d","Nintendo Switch","168.00","High","Website","US"
"6aa78ed7","d289ddab80b46021","2019-01-03","2019-01-04",2019,1,1,"Fast","ab0f","JBL Quantum 100 Gaming Headset","24.00","Low","Website","US"
"868c8912","f2a30b69db557229","2019-01-03","2019-01-05",2019,1,2,"Fast","ab0f","JBL Quantum 100 Gaming Headset","22.52","Low","Website","DE"
"ab3a32b9","baabdb9cb5572601","2019-01-03","2019-01-04",2019,1,1,"Fast","ab0f","JBL Quantum 100 Gaming Headset","19.39","Low","Website","CA"
"c4a52122","88a593333c383239","2019-01-03","2019-01-06",2019,1,3,"Standard","8d0d","Nintendo Switch","168.00","High","Website","US"
"d1996fe7","a45e4a3aced88490","2019-01-03","2019-01-05",2019,1,2,"Fast","8d0d","Nintendo Switch","168.00","High","Website","US"
"d811edac","c57fe20232a91294","2019-01-03","2019-01-05",2019,1,2,"Fast","ab0f","JBL Quantum 100 Gaming Headset","24.00","Low","Website","TH"
"dd7709bd","8ba7c78d19293581","2019-01-03","2019-01-05",2019,1,2,"Fast","ab0f","JBL Quantum 100 Gaming Headset","24.00","Low","Website","BR"
"ee6f59de","b142c37b43b100723","2019-01-03","2019-01-04",2019,1,1,"Fast","8d0d","Nintendo Switch","168.00","High","Website","US"
"f4ad7399","af652d63651103402","2019-01-03","2019-01-06",2019,1,3,"Standard","8d0d","Nintendo Switch","152.19","High","Website","JP"
"f4ad7399","af652d63651103403","2019-01-03","2019-01-06",2019,1,3,"Standard","8d0d","Nintendo Switch","152.19","High","Website","JP"
"6926d544","862afb0fd0845391","2019-01-04","2019-01-06",2019,1,2,"Fast","891b","27in 4K Gaming Monitor","312.00","High","Website","IS"
"0c704ea4","ac38079a0d18085","2019-01-04","2019-01-06",2019,1,2,"Fast","8d0d","Nintendo Switch","168.00","High","Website","US"
"34ff61c8","ebd54ba802e24501","2019-01-04","2019-01-07",2019,1,3,"Standard","8d0d","Nintendo Switch","168.00","High","Website","US"
"4a37e991","debc0509bd233021","2019-01-04","2019-01-05",2019,1,1,"Fast","8d0d","Nintendo Switch","168.00","High","Website","US"
"600c3d3b","c1e3379f74341801","2019-01-04","2019-01-07",2019,1,3,"Standard","ab0f","JBL Quantum 100 Gaming Headset","24.90","Low","Website","GB"
"7a3dc990","506e02bc2a252221","2019-01-04","2019-01-05",2019,1,1,"Fast","891b","27in 4K Gaming Monitor","425.71","High","Website","ES"
"d6cb1465","6e6271df12890716","2019-01-04","2019-01-07",2019,1,3,"Standard","891b","27in 4K Gaming Monitor","340.54","High","Website","US"
"89d89f44","ab94a62f45658547","2019-01-04","2019-01-06",2019,1,2,"Fast","8d0d","Nintendo Switch","127.88","High","Website","CA"
"bb0fcf53","53f9610bce379222","2019-01-04","2019-01-05",2019,1,1,"Fast","2997","JBL Quantum 100 Gaming Headset","16.48","Low","Mobile App","SE"
"bb0fcf53","53f9610bce379223","2019-01-04","2019-01-05",2019,1,1,"Fast","2997","JBL Quantum 100 Gaming Headset","16.48","Low","Mobile App","SE"
"d75f8382","5f4bc170b2790984","2019-01-04","2019-01-05",2019,1,1,"Fast","8d0d","Nintendo Switch","149.58","High","Website","CA"
"19c01e18","af8e63069dd13459","2019-01-05","2019-01-08",2019,1,3,"Standard","891b","27in 4K Gaming Monitor","312.00","High","Website","US"
"1553048","e619a5c111a73","2019-01-05","2019-01-07",2019,1,2,"Fast","8d0d","Nintendo Switch","168.00","High","Website","US"
"1553048","e619a5c111a74","2019-01-05","2019-01-07",2019,1,2,"Fast","8d0d","Nintendo Switch","168.00","High","Website","US"
